Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
34,chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite
35,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
36,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
37,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
38,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
39,chronic cholestasis,itching, vomiting, yellowish_skin, nausea
40,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
41,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination
42,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination
43,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination
44,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
45,drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
46,drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination
47,drug reaction,itching, skin_rash, burning_micturition, spotting_ urination
48,drug reaction,itching, skin_rash, stomach_pain, spotting_ urination
49,drug reaction,itching, skin_rash, stomach_pain, burning_micturition
50,peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
51,peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
52,peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
53,peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
54,peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases
55,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases
56,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
57,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
58,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
59,peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain
60,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
61,aids, patches_in_throat, high_fever, extra_marital_contacts,
62,aids, muscle_wasting, high_fever, extra_marital_contacts,
63,aids, muscle_wasting, patches_in_throat, extra_marital_contacts,
64,aids, muscle_wasting, patches_in_throat, high_fever,
65,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
66,aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
67,aids, patches_in_throat, high_fever, extra_marital_contacts,
68,aids, muscle_wasting, high_fever, extra_marital_contacts,
69,aids, muscle_wasting, patches_in_throat, high_fever,
70,diabetes , fatigue, weight_loss, restlessness, lethargy
71,diabetes , fatigue, weight_loss, restlessness, lethargy
72,diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
73,diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
74,diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
75,diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
76,diabetes , fatigue, weight_loss, restlessness, lethargy
77,diabetes , fatigue, weight_loss, restlessness, lethargy
78,diabetes , fatigue, weight_loss, restlessness, lethargy
79,diabetes , fatigue, weight_loss, restlessness, lethargy
80,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
81,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
82,gastroenteritis, sunken_eyes, dehydration, diarrhoea,
83,gastroenteritis, vomiting, dehydration, diarrhoea,
84,gastroenteritis, vomiting, sunken_eyes, diarrhoea,
85,gastroenteritis, vomiting, sunken_eyes, dehydration,
86,gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
87,gastroenteritis, sunken_eyes, dehydration, diarrhoea,
88,gastroenteritis, vomiting, dehydration, diarrhoea,
89,gastroenteritis, vomiting, sunken_eyes, diarrhoea,
90,bronchial asthma, fatigue, cough, high_fever, breathlessness
91,bronchial asthma, cough, high_fever, breathlessness, family_history
92,bronchial asthma, fatigue, high_fever, breathlessness, family_history
93,bronchial asthma, fatigue, cough, breathlessness, family_history
94,bronchial asthma, fatigue, cough, high_fever, family_history
95,bronchial asthma, fatigue, cough, high_fever, breathlessness
96,bronchial asthma, fatigue, cough, high_fever, breathlessness
97,bronchial asthma, fatigue, cough, high_fever, breathlessness
98,bronchial asthma, cough, high_fever, breathlessness, family_history
99,bronchial asthma, fatigue, high_fever, breathlessness, family_history
100,hypertension , headache, chest_pain, dizziness, loss_of_balance
101,hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
102,hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
103,hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
104,hypertension , headache, chest_pain, dizziness, lack_of_concentration
105,hypertension , headache, chest_pain, dizziness, loss_of_balance
106,hypertension , headache, chest_pain, dizziness, loss_of_balance
107,hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
108,hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
109,hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
110,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
111,migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
112,migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
113,migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
114,migraine, acidity, indigestion, headache, excessive_hunger
115,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
116,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
117,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
118,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
119,migraine, acidity, indigestion, headache, blurred_and_distorted_vision
120,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
121,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
122,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
123,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
124,cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
125,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
126,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
127,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
128,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
129,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
130,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
131,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
132,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
133,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
134,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
135,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
136,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
137,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
138,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
139,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
140,jaundice,itching, vomiting, fatigue, weight_loss
141,jaundice,itching, vomiting, fatigue, weight_loss
142,jaundice, vomiting, fatigue, weight_loss, high_fever
143,jaundice,itching, fatigue, weight_loss, high_fever
144,jaundice,itching, vomiting, weight_loss, high_fever
145,jaundice,itching, vomiting, fatigue, high_fever
146,jaundice,itching, vomiting, fatigue, weight_loss
147,jaundice,itching, vomiting, fatigue, weight_loss
148,jaundice,itching, vomiting, fatigue, weight_loss
149,jaundice,itching, vomiting, fatigue, weight_loss
150,malaria, chills, vomiting, high_fever, sweating
151,malaria, chills, vomiting, high_fever, sweating
152,malaria, chills, vomiting, high_fever, sweating
153,malaria, vomiting, high_fever, sweating, headache
154,malaria, chills, high_fever, sweating, headache
155,malaria, chills, vomiting, sweating, headache
156,malaria, chills, vomiting, high_fever, headache
157,malaria, chills, vomiting, high_fever, sweating
158,malaria, chills, vomiting, high_fever, sweating
159,malaria, chills, vomiting, high_fever, sweating
160,chicken pox,itching, skin_rash, fatigue, lethargy
161,chicken pox, skin_rash, fatigue, lethargy, high_fever
162,chicken pox,itching, fatigue, lethargy, high_fever
163,chicken pox,itching, skin_rash, lethargy, high_fever
164,chicken pox,itching, skin_rash, fatigue, high_fever
165,chicken pox,itching, skin_rash, fatigue, lethargy
166,chicken pox,itching, skin_rash, fatigue, lethargy
167,chicken pox,itching, skin_rash, fatigue, lethargy
168,chicken pox,itching, skin_rash, fatigue, lethargy
169,chicken pox,itching, skin_rash, fatigue, lethargy
170,dengue, skin_rash, chills, joint_pain, vomiting
171,dengue, skin_rash, chills, joint_pain, vomiting
172,dengue, skin_rash, chills, joint_pain, vomiting
173,dengue, skin_rash, chills, joint_pain, vomiting
174,dengue, chills, joint_pain, vomiting, fatigue
175,dengue, skin_rash, joint_pain, vomiting, fatigue
176,dengue, skin_rash, chills, vomiting, fatigue
177,dengue, skin_rash, chills, joint_pain, fatigue
178,dengue, skin_rash, chills, joint_pain, vomiting
179,dengue, skin_rash, chills, joint_pain, vomiting
180,typhoid, chills, vomiting, fatigue, high_fever
181,typhoid, chills, vomiting, fatigue, high_fever
182,typhoid, chills, vomiting, fatigue, high_fever
183,typhoid, chills, vomiting, fatigue, high_fever
184,typhoid, chills, vomiting, fatigue, high_fever
185,typhoid, chills, vomiting, fatigue, high_fever
186,typhoid, chills, vomiting, fatigue, high_fever
187,typhoid, chills, vomiting, fatigue, high_fever
188,typhoid, chills, vomiting, fatigue, high_fever
189,typhoid, chills, fatigue, high_fever, headache
190,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
191,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
192,hepatitis a, vomiting, yellowish_skin, dark_urine, nausea
193,hepatitis a, joint_pain, yellowish_skin, dark_urine, nausea
194,hepatitis a, joint_pain, vomiting, dark_urine, nausea
195,hepatitis a, joint_pain, vomiting, yellowish_skin, nausea
196,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
197,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
198,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
199,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine
200,hepatitis b,itching, fatigue, lethargy, yellowish_skin
201,hepatitis b,itching, fatigue, lethargy, yellowish_skin
202,hepatitis b, fatigue, lethargy, yellowish_skin, dark_urine
203,hepatitis b,itching, lethargy, yellowish_skin, dark_urine
204,hepatitis b,itching, fatigue, yellowish_skin, dark_urine
205,hepatitis b,itching, fatigue, lethargy, dark_urine
206,hepatitis b,itching, fatigue, lethargy, yellowish_skin
207,hepatitis b,itching, fatigue, lethargy, yellowish_skin
208,hepatitis b,itching, fatigue, lethargy, yellowish_skin
209,hepatitis b,itching, fatigue, lethargy, yellowish_skin
210,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
211,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
212,hepatitis c, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
213,hepatitis c, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
214,hepatitis c, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
215,hepatitis c, fatigue, yellowish_skin, nausea, yellowing_of_eyes
216,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
217,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
218,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
219,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite
220,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
221,hepatitis d, vomiting, fatigue, yellowish_skin, dark_urine
222,hepatitis d, joint_pain, fatigue, yellowish_skin, dark_urine
223,hepatitis d, joint_pain, vomiting, yellowish_skin, dark_urine
224,hepatitis d, joint_pain, vomiting, fatigue, dark_urine
225,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
226,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
227,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
228,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
229,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin
230,hepatitis e, joint_pain, vomiting, fatigue, high_fever
231,hepatitis e, joint_pain, vomiting, fatigue, high_fever
232,hepatitis e, joint_pain, vomiting, fatigue, high_fever
233,hepatitis e, vomiting, fatigue, high_fever, yellowish_skin
234,hepatitis e, joint_pain, fatigue, high_fever, yellowish_skin
235,hepatitis e, joint_pain, vomiting, high_fever, yellowish_skin
236,hepatitis e, joint_pain, vomiting, fatigue, yellowish_skin
237,hepatitis e, joint_pain, vomiting, fatigue, high_fever
238,hepatitis e, joint_pain, vomiting, fatigue, high_fever
239,hepatitis e, joint_pain, vomiting, fatigue, high_fever
240,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
241,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
242,alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
243,alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
244,alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
245,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
246,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
247,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
248,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
249,alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
250,tuberculosis, chills, vomiting, fatigue, weight_loss
251,tuberculosis, chills, vomiting, fatigue, weight_loss
252,tuberculosis, vomiting, fatigue, weight_loss, cough
253,tuberculosis, chills, fatigue, weight_loss, cough
254,tuberculosis, chills, vomiting, weight_loss, cough
255,tuberculosis, chills, vomiting, fatigue, cough
256,tuberculosis, chills, vomiting, fatigue, weight_loss
257,tuberculosis, chills, vomiting, fatigue, weight_loss
258,tuberculosis, chills, vomiting, fatigue, weight_loss
259,tuberculosis, chills, vomiting, fatigue, weight_loss
260,common cold, continuous_sneezing, chills, fatigue, cough
261,common cold, continuous_sneezing, chills, fatigue, cough
262,common cold, chills, fatigue, cough, high_fever
263,common cold, continuous_sneezing, fatigue, cough, high_fever
264,common cold, continuous_sneezing, chills, cough, high_fever
265,common cold, continuous_sneezing, chills, fatigue, high_fever
266,common cold, continuous_sneezing, chills, fatigue, cough
267,common cold, continuous_sneezing, chills, fatigue, cough
268,common cold, continuous_sneezing, chills, fatigue, cough
269,common cold, continuous_sneezing, chills, fatigue, cough
270,pneumonia, chills, fatigue, cough, high_fever
271,pneumonia, chills, fatigue, cough, high_fever
272,pneumonia, chills, fatigue, cough, high_fever
273,pneumonia, fatigue, cough, high_fever, breathlessness
274,pneumonia, chills, cough, high_fever, breathlessness
275,pneumonia, chills, fatigue, high_fever, breathlessness
276,pneumonia, chills, fatigue, cough, breathlessness
277,pneumonia, chills, fatigue, cough, high_fever
278,pneumonia, chills, fatigue, cough, high_fever
279,pneumonia, chills, fatigue, cough, high_fever
280,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
281,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
282,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
283,dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
284,dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
285,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
286,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
287,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
288,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
289,dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
290,heart attack, vomiting, breathlessness, sweating, chest_pain
291,heart attack, vomiting, breathlessness, sweating, chest_pain
292,heart attack, breathlessness, sweating, chest_pain,
293,heart attack, vomiting, sweating, chest_pain,
294,heart attack, vomiting, breathlessness, chest_pain,
295,heart attack, vomiting, breathlessness, sweating,
296,heart attack, vomiting, breathlessness, sweating, chest_pain
297,heart attack, breathlessness, sweating, chest_pain,
298,heart attack, vomiting, sweating, chest_pain,
299,heart attack, vomiting, breathlessness, chest_pain,
300,varicose veins, fatigue, cramps, bruising, obesity
301,varicose veins, fatigue, cramps, bruising, obesity
302,varicose veins, cramps, bruising, obesity, swollen_legs
303,varicose veins, fatigue, bruising, obesity, swollen_legs
304,varicose veins, fatigue, cramps, obesity, swollen_legs
305,varicose veins, fatigue, cramps, bruising, swollen_legs
306,varicose veins, fatigue, cramps, bruising, obesity
307,varicose veins, fatigue, cramps, bruising, obesity
308,varicose veins, fatigue, cramps, bruising, obesity
309,varicose veins, fatigue, cramps, bruising, obesity
310,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
311,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
312,hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
313,hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
314,hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
315,hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
316,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
317,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
318,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
319,hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
320,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
321,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
322,hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
323,hyperthyroidism, fatigue, weight_loss, restlessness, sweating
324,hyperthyroidism, fatigue, mood_swings, restlessness, sweating
325,hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
326,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
327,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
328,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
329,hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
330,hypoglycemia, vomiting, fatigue, anxiety, sweating
331,hypoglycemia, vomiting, fatigue, anxiety, sweating
332,hypoglycemia, vomiting, fatigue, anxiety, sweating
333,hypoglycemia, fatigue, anxiety, sweating, headache
334,hypoglycemia, vomiting, anxiety, sweating, headache
335,hypoglycemia, vomiting, fatigue, sweating, headache
336,hypoglycemia, vomiting, fatigue, anxiety, headache
337,hypoglycemia, vomiting, fatigue, anxiety, sweating
338,hypoglycemia, vomiting, fatigue, anxiety, sweating
339,hypoglycemia, vomiting, fatigue, anxiety, sweating
340,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
341,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
342,osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
343,osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
344,osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
345,osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
346,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
347,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
348,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
349,osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
350,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
351,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
352,arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
353,arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
354,arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
355,arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
356,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
357,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
358,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
359,arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
360,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
361,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
362,(vertigo) paroymsal  positional vertigo, headache, nausea, spinning_movements, loss_of_balance
363,(vertigo) paroymsal  positional vertigo, vomiting, nausea, spinning_movements, loss_of_balance
364,(vertigo) paroymsal  positional vertigo, vomiting, headache, spinning_movements, loss_of_balance
365,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, loss_of_balance
366,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
367,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
368,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, spinning_movements
369,(vertigo) paroymsal  positional vertigo, vomiting, headache, nausea, loss_of_balance
370,acne, skin_rash, pus_filled_pimples, blackheads, scurring
371,acne, skin_rash, pus_filled_pimples, blackheads, scurring
372,acne, pus_filled_pimples, blackheads, scurring,
373,acne, skin_rash, blackheads, scurring,
374,acne, skin_rash, pus_filled_pimples, scurring,
375,acne, skin_rash, pus_filled_pimples, blackheads,
376,acne, skin_rash, pus_filled_pimples, blackheads, scurring
377,acne, skin_rash, pus_filled_pimples, blackheads,
378,acne, skin_rash, pus_filled_pimples, scurring,
379,acne, skin_rash, blackheads, scurring,
380,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
381,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
382,urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
383,urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
384,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
385,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
386,urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
387,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
388,urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
389,urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
390,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
391,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
392,psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
393,psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
394,psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
395,psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
396,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
397,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
398,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
399,psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
400,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
401,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
402,impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
403,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
404,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
405,impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
406,impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
407,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
408,impetigo, skin_rash, high_fever, blister, red_sore_around_nose
409,impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
410,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
411,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
412,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
413,fungal infection,itching, skin_rash, dischromic _patches,
414,fungal infection,itching, skin_rash, nodal_skin_eruptions,
415,fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,
416,fungal infection,itching, nodal_skin_eruptions, dischromic _patches,
417,fungal infection,itching, skin_rash, dischromic _patches,
418,fungal infection,itching, skin_rash, nodal_skin_eruptions,
419,fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches
420,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
421,allergy, shivering, chills, watering_from_eyes,
422,allergy, continuous_sneezing, chills, watering_from_eyes,
423,allergy, continuous_sneezing, shivering, watering_from_eyes,
424,allergy, continuous_sneezing, shivering, chills,
425,allergy, shivering, chills, watering_from_eyes,
426,allergy, continuous_sneezing, chills, watering_from_eyes,
427,allergy, continuous_sneezing, shivering, watering_from_eyes,
428,allergy, continuous_sneezing, shivering, chills,
429,allergy, continuous_sneezing, shivering, chills, watering_from_eyes
430,gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting
431,gerd, stomach_pain, ulcers_on_tongue, vomiting, cough
